,Year,G,Pos,AST,BLK,Player,FG,STL,PTS,TRB,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
2005,1985.0,82.0,SG,280.0,28.0,Lewis Lloyd,457.0,73.0,1077.0,231.0,10.434146341463414,1.4963414634146344,11.930487804878046,13.134146341463413,3.414634146341464,2.817073170731707,0.3414634146341464,0.8902439024390244,5.573170731707316
2172,1985.0,46.0,SG,61.0,4.0,Kevin Williams,58.0,22.0,163.0,63.0,2.8717391304347823,0.7173913043478259,3.5891304347826085,3.5434782608695654,1.326086956521739,1.3695652173913044,0.08695652173913042,0.4782608695652174,1.2608695652173914
2141,1985.0,79.0,C,36.0,87.0,Melvin Turpin,363.0,38.0,835.0,452.0,7.949367088607595,2.7632911392405064,10.712658227848099,10.569620253164556,0.4556962025316456,5.7215189873417724,1.1012658227848102,0.4810126582278481,4.594936708860758
2742,1987.0,74.0,C,27.0,46.0,Greg Kite,47.0,17.0,123.0,169.0,1.2999999999999998,1.1689189189189189,2.4689189189189187,1.6621621621621618,0.3648648648648649,2.283783783783784,0.6216216216216216,0.2297297297297297,0.6351351351351351
1873,1985.0,62.0,SG,48.0,2.0,Carlos Clark,64.0,35.0,169.0,69.0,2.166129032258065,0.6241935483870968,2.790322580645162,2.7258064516129035,0.7741935483870968,1.1129032258064515,0.03225806451612903,0.5645161290322581,1.032258064516129
566,1981.0,3.0,SG,1.0,0.0,Ollie Mack,1.0,1.0,3.0,1.0,0.7999999999999998,0.2333333333333333,1.0333333333333332,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
91,1980.0,79.0,C,216.0,51.0,Coby Dietrick,227.0,89.0,545.0,363.0,5.663291139240505,2.3696202531645567,8.032911392405063,6.89873417721519,2.7341772151898733,4.594936708860758,0.6455696202531646,1.1265822784810129,2.873417721518988
457,1981.0,65.0,SG,361.0,11.0,World B.,516.0,85.0,1565.0,159.0,18.75846153846154,1.4215384615384616,20.18,24.07692307692308,5.553846153846153,2.4461538461538463,0.16923076923076924,1.3076923076923077,7.938461538461539
2175,1985.0,34.0,SF,94.0,8.0,Sly Williams,167.0,28.0,417.0,168.0,9.629411764705884,2.2941176470588243,11.923529411764704,12.264705882352944,2.764705882352941,4.941176470588236,0.2352941176470588,0.8235294117647058,4.911764705882354
1379,1983.0,31.0,PG,187.0,15.0,Micheal Ray,170.0,81.0,395.0,150.0,10.674193548387096,2.8645161290322583,13.538709677419355,12.741935483870966,6.03225806451613,4.838709677419356,0.4838709677419355,2.6129032258064515,5.483870967741934
473,1981.0,75.0,SG,300.0,17.0,Kevin Grevey,500.0,68.0,1289.0,219.0,13.497333333333332,1.508,15.005333333333333,17.186666666666667,4.0,2.92,0.22666666666666666,0.9066666666666666,6.666666666666668
936,1982.0,69.0,SG,148.0,25.0,John Long,637.0,65.0,1514.0,257.0,16.71159420289855,1.8811594202898552,18.592753623188408,21.942028985507246,2.1449275362318843,3.724637681159421,0.3623188405797101,0.9420289855072465,9.231884057971014
3171,1988.0,81.0,PF,138.0,8.0,Ben McDonald,258.0,39.0,612.0,335.0,5.948148148148147,1.8283950617283948,7.776543209876543,7.5555555555555545,1.7037037037037035,4.135802469135802,0.09876543209876544,0.4814814814814815,3.185185185185185
464,1981.0,16.0,SF,6.0,6.0,Gus Gerard,19.0,3.0,57.0,29.0,2.6875,0.8937500000000002,3.5812500000000003,3.5625,0.375,1.8125,0.375,0.1875,1.1875
1296,1983.0,59.0,SF,58.0,3.0,Jeff Lamp,107.0,20.0,257.0,76.0,3.4271186440677965,0.6322033898305084,4.0593220338983045,4.3559322033898304,0.9830508474576272,1.2881355932203389,0.05084745762711865,0.3389830508474576,1.8135593220338984
2901,1987.0,46.0,PG,59.0,1.0,Sam Vincent,60.0,13.0,171.0,27.0,2.989130434782609,0.3260869565217392,3.315217391304348,3.717391304347826,1.2826086956521738,0.5869565217391305,0.021739130434782608,0.2826086956521739,1.3043478260869563
713,1981.0,67.0,PF,180.0,18.0,Sly Williams,349.0,116.0,885.0,416.0,10.304477611940296,3.0835820895522392,13.388059701492535,13.208955223880595,2.6865671641791047,6.208955223880597,0.26865671641791045,1.7313432835820894,5.208955223880597
458,1981.0,15.0,SG,28.0,1.0,Tony Fuller,24.0,10.0,60.0,42.0,3.333333333333333,1.34,4.673333333333334,4.0,1.8666666666666667,2.8,0.06666666666666668,0.6666666666666666,1.6
1133,1983.0,72.0,SG,275.0,5.0,Quinn Buckner,248.0,108.0,570.0,187.0,6.65,1.5097222222222217,8.159722222222221,7.916666666666668,3.8194444444444446,2.5972222222222223,0.06944444444444445,1.5,3.4444444444444446
2382,1986.0,82.0,SG,300.0,24.0,Lewis Lloyd,592.0,102.0,1386.0,324.0,13.285365853658535,2.041463414634146,15.32682926829268,16.902439024390244,3.6585365853658534,3.9512195121951224,0.2926829268292683,1.2439024390243902,7.219512195121951
2214,1986.0,33.0,PG,39.0,0.0,Mike Bratz,26.0,13.0,70.0,23.0,1.8,0.396969696969697,2.196969696969697,2.121212121212121,1.181818181818182,0.696969696969697,0.0,0.3939393939393939,0.7878787878787878
215,1980.0,82.0,C,147.0,107.0,Moses Malone*,778.0,80.0,2119.0,1190.0,19.396341463414632,6.489024390243902,25.885365853658534,25.84146341463415,1.7926829268292683,14.51219512195122,1.304878048780488,0.975609756097561,9.48780487804878
3756,1989.0,70.0,SF,40.0,39.0,Terry Tyler,169.0,24.0,386.0,209.0,4.215714285714285,1.4642857142857144,5.68,5.514285714285713,0.5714285714285714,2.9857142857142858,0.5571428571428572,0.3428571428571429,2.4142857142857137
105,1980.0,36.0,PF,37.0,1.0,Earl Evans,63.0,14.0,157.0,75.0,3.433333333333333,0.9583333333333334,4.391666666666667,4.361111111111111,1.0277777777777777,2.083333333333333,0.027777777777777776,0.3888888888888889,1.75
680,1981.0,82.0,SF,136.0,180.0,Terry Tyler,476.0,112.0,1100.0,567.0,10.302439024390244,3.834146341463415,14.13658536585366,13.414634146341465,1.6585365853658536,6.914634146341463,2.1951219512195124,1.3658536585365857,5.804878048780488
3798,1989.0,49.0,PG,70.0,3.0,Micheal Williams,47.0,13.0,127.0,27.0,2.1959183673469385,0.31836734693877555,2.5142857142857142,2.591836734693877,1.4285714285714286,0.5510204081632653,0.061224489795918366,0.2653061224489796,0.9591836734693876
2216,1986.0,44.0,SG,40.0,6.0,Ron Brewer,86.0,17.0,211.0,53.0,3.734090909090909,0.6386363636363637,4.372727272727273,4.795454545454546,0.9090909090909092,1.2045454545454546,0.13636363636363635,0.3863636363636364,1.9545454545454544
3398,1989.0,64.0,SG,80.0,22.0,Ricky Berry,255.0,37.0,706.0,197.0,8.3703125,1.5078125,9.878125,11.03125,1.25,3.078125,0.34375,0.578125,3.984375
3783,1989.0,5.0,C,2.0,0.0,Jerome Whitehead,3.0,1.0,7.0,5.0,1.12,0.46,1.5799999999999998,1.4,0.4,1.0,0.0,0.2,0.6
1200,1983.0,7.0,PG,38.0,0.0,Phil Ford,20.0,6.0,47.0,7.0,6.071428571428571,0.6571428571428571,6.7285714285714295,6.7142857142857135,5.428571428571429,1.0,0.0,0.8571428571428571,2.8571428571428568
